Date,Country,Injuries/Casualties,Type,Description,Source(s)
2016-03-12,"Hong Kong, China",1,Fall,A 30-year-old man fell off Lion Rock in Hong Kong while taking a selfie and died.,"[<sup class=""reference"" id=""cite_ref-87""><a href=""#cite_note-87"">[87]</a></sup>]"
2016-04-05,India,1,Fall,"A 16-year-old climbed a rock fountain at a zoo in Hyderabad, India, apparently to take a selfie. He slipped, fell into the water and may have hit his head on a rock. He was taken to hospital where his death was recorded.","[<sup class=""reference"" id=""cite_ref-88""><a href=""#cite_note-88"">[88]</a></sup>, <sup class=""reference"" id=""cite_ref-89""><a href=""#cite_note-89"">[89]</a></sup>]"
2016-04-15,India,2,Transport,"Two youths were run over by a train while taking selfies on the railway tracks at Purushottampur railway crossing in Chunar area in Mirzapur district in Uttar Pradesh, India.","[<sup class=""reference"" id=""cite_ref-90""><a href=""#cite_note-90"">[90]</a></sup>]"
2016-04-16,Brazil,1,Fall,A 27-year-old woman fell from a height of 35m at a waterfall in the Ibitipoca State Park in Minas Gerais. She was rescued by the fire department and survived.,"[<sup class=""reference"" id=""cite_ref-91""><a href=""#cite_note-91"">[91]</a></sup>]"
2016-04-16,India,1,Transport,"A 16-year-old boy died while taking a selfie at a railway crossing in Saharanpur, a town in Uttar Pradesh, India.","[<sup class=""reference"" id=""cite_ref-92""><a href=""#cite_note-92"">[92]</a></sup>]"
2016-04-21,Brazil,1,Fall,"In Campos dos Goytacazes in Rio de Janeiro, a 32-year-old woman died after she fell in a waterfall while attempting a selfie.","[<sup class=""reference"" id=""cite_ref-93""><a href=""#cite_note-93"">[93]</a></sup>]"
2016-04-26,India,1,Fall,"While taking a selfie, a 25-year-old fell off the Dolphin Nose cliff near Vattakanal village, situated 8 km from the Kodaikanal Lake, Tamil Nadu, India.","[<sup class=""reference"" id=""cite_ref-Veerappan_2016_94-0""><a href=""#cite_note-Veerappan_2016-94"">[94]</a></sup>]"
2016-05-01,India,1,Firearm,"A 15-year-old boy from Pathankot, India, died after he accidentally shot himself with his father's revolver while taking a selfie with the gun pointed at his head.","[<sup class=""reference"" id=""cite_ref-ptnkt016_95-0""><a href=""#cite_note-ptnkt016-95"">[95]</a></sup>, <sup class=""reference"" id=""cite_ref-96""><a href=""#cite_note-96"">[96]</a></sup>]"
2016-05-01,China,2,Animal,"A Chinese businessman, at a local wildlife park in the city of Rongcheng, Shandong province, was drowned by a walrus after taking several selfies and videos with the animal. A zookeeper was also drowned in the same incident after attempting to save the man.",[]
2016-06-03,India,1,Drowned,An 18-year-old boy drowned in the Ganges river while taking a selfie after bathing with his mother and a friend in Nabadwip of West Bengal state in India.,"[<sup class=""reference"" id=""cite_ref-selfieaddiction_97-0""><a href=""#cite_note-selfieaddiction-97"">[97]</a></sup>]"
2016-06-03,United States,1,Firearm,"A 15-year-old from Overland, Missouri, accidentally shot and killed himself while attempting to take a selfie at home posing with his father's gun.","[<sup class=""reference"" id=""cite_ref-98""><a href=""#cite_note-98"">[98]</a></sup>]"
2016-06-12,India,2,Drowned,"A 23-year-old fell into the water and drowned at Sindhrot Check Dam near Vadodara, India, while taking a selfie. His friend jumped into the water to save him, but he also drowned.","[<sup class=""reference"" id=""cite_ref-baroda16_99-0""><a href=""#cite_note-baroda16-99"">[99]</a></sup>]"
2016-06-18,United States,1,Fall,"A 37-year-old EMS lieutenant of the New York City Fire Department, was mountain climbing near Lake George in the Adirondack Mountains. She was on a ledge at the top of Roaring Brook Falls preparing to take a selfie when she disappeared from sight. Rescue services found her body in the water at the base of the falls.","[<sup class=""reference"" id=""cite_ref-100""><a href=""#cite_note-100"">[100]</a></sup>, <sup class=""reference"" id=""cite_ref-101""><a href=""#cite_note-101"">[101]</a></sup>]"
2016-06-22,India,7,Drowned,"Seven people aged 16 to 31 were swept away and drowned while taking a selfie in the river Ganges in Kanpur, Uttar Pradesh, India. According to a police official, they had gone for a picnic at Kanpur Ganges Barrage when one of the party tried to take a selfie by standing on the edge of the barrage and tripped and fell into the Ganges. The river was already in spate due to rains in the region. The six others, in an attempt to save him, jumped into the river but were themselves swept away by the current.","[<sup class=""reference"" id=""cite_ref-102""><a href=""#cite_note-102"">[102]</a></sup>]"
2016-06-22,India,1,Fall,"A third year engineering student of a Lonavla-based college and hailing from Nashik, lost his balance while taking a selfie from the Amrutanjan Bridge and fell down next to the Mumbai Pune Expressway in Maharashtra, India. He died on the spot.","[<sup class=""reference"" id=""cite_ref-103""><a href=""#cite_note-103"">[103]</a></sup>, <sup class=""reference"" id=""cite_ref-104""><a href=""#cite_note-104"">[104]</a></sup>]"
